259 3
400 5
500 10
673 17
1073 28
1695 35
2277 54
2277 55
5232 133
6391 195
7798 289
9942 342
11748 533
13910 623
17963 830
20410 1043
25374 1375
28768 1772
35136 2311
39885 2808
49515 3647
57786 4365
65719 5138
73235 5982
80110 6803
87956 7716
95923 8464
104118 9387
112065 10348
119199 11198
126168 11947
131646 12641
136675 13341
141942 14045
148220 14792
153222 15447
158273 16081
163027 16606
166831 17209
170099 17756
172541 18056
177644 18708
184948 19315
190839 20002
191726 20043
198674 20453
200210 20852
204178 21282
208389 21717
213024 22157
202990 22524
205905 22902
207634 23190
209465 23521
210773 23822
212917 24275
213435 24543
215216 24543
216582 25100
217466 25264
218011 25428
219329 25613
220325 25857
221447 26070
222857 26299
223578 26478
224350 26621
227436 26744
228030 26920
228691 27104
229540 27321
230183 27459
230698 27563
230698 27563
231606 27709
232037 27778
232555 27888
233037 27940
234824 28628
235290 28678
235772 28752
