"age","srate","s2h","s2c","h2d","c2d"
0,0.0069694171929877,0.273660205245154,0.0444697833523375,0.0120096250738386,0
10,0.00771453095824035,0.155161881490531,0.0140500916310324,0.0283691930878076,0
20,0.0548197883815078,0.103112695936409,0.00661169303915014,0.0181596826257428,0.0892238844861059
30,0.0821844903214158,0.156234816025443,0.0121030080833959,0.0187549186044048,0.0892577315855471
40,0.0734792517053693,0.225587021488544,0.0210616194677672,0.0247127025079604,0.126755779328233
50,0.0911015996877642,0.292400803851007,0.0365004439874749,0.0500056864783477,0.163139920301075
60,0.0934718104901289,0.428696158323632,0.0737485448195576,0.11099035321426,0.318812090439116
70,0.107236554964929,0.571248035015258,0.0696914588663194,0.306783478527758,0.437776113882124
80,0.289321537286262,0.444611771455207,0.00695602287599276,0.684704048798067,0.636357128164653
