1 0
1 0
3 0
3 0
3 0
3 0
7 0
7 0
7 0
15 0
16 0
25 0
28 0
31 1
31 1
38 1
42 1
50 1
59 1
81 1
110 3
122 4
126 4
142 4
158 6
172 6
179 6
184 7
189 7
191 7
197 8
208 9
216 9
225 10
234 11
246 11
262 12
270 14
281 14
296 14
303 14
320 14
336 14
343 14
355 14
363 14
374 14
384 15
396 17
411 21
435 22
465 24
490 24
535 24
582 26
607 29
621 29
649 30
672 32
700 33
715 36
737 40
758 42
781 45
830 50
887 50
912 50
963 50
1029 50
1109 50
1161 50
1192 50
1214 51
1286 52
1348 52
1471 55
1618 58
1745 62
1888 63
1962 64
2021 69
2093 71
2216 74
2340 78
2474 79
2600 83
2767 84
2872 85
2989 88
3094 89
3215 92
3305 96
