0 4 2406968
5 9 2733066
10 14 2951044
15 19 2963998
20 24 3021718
25 29 3282445
30 34 3455959
35 39 3748966
40 44 4368034
45 49 4930949
50 54 5044643
55 59 4682749
60 64 4013191
65 69 3567077
70 74 3414871
75 79 2719915
80 84 4578970
