0.00233189958970154 2.24544977342469e-07 1.12272488671235e-07 1.12272488671235e-07 0 8.98179909369877e-07 0 0 2.9190847054521e-06 3.03135719412334e-06 2.24544977342469e-07 0 6.73634932027408e-07 0 5.61362443356173e-07 1.12272488671235e-07 0 0 6.73634932027408e-07 1.12272488671235e-07 0 0 0 0 7.85907420698643e-07 0 5.61362443356173e-07 8.98179909369877e-07 0 1.32481536632057e-05 1.45954235272605e-05 1.12272488671235e-07 0 0 4.26635456950692e-06 0 3.21099317599731e-05 0 0 1.12272488671235e-07 0 3.36817466013704e-07 2.24544977342469e-07 0 3.36817466013704e-07 4.49089954684939e-07 1.12272488671235e-07 2.24544977342469e-07
0 0.000608815025256128 1.75548304942435e-06 0 0 0 0 4.0511147294408e-07 2.36315025884047e-06 0 2.0255573647204e-07 0 0 0 3.37592894120067e-07 0 6.75185788240133e-08 3.37592894120067e-07 0 0 6.75185788240133e-08 0 0 1.35037157648027e-07 2.0255573647204e-07 0 0 1.35037157648027e-07 0 0 2.49818741648849e-06 0 4.25367046591284e-06 0 0 0 6.75185788240133e-08 0 0 1.35037157648027e-07 0 6.75185788240133e-08 0 6.75185788240133e-08 4.65878193885692e-06 0 0 2.0255573647204e-07
0 1.36154808925447e-05 0.00156869790569104 0 0 0 6.48356232978319e-07 0 1.29671246595664e-06 0 3.24178116489159e-07 0 0 9.72534349467478e-07 6.48356232978319e-07 6.48356232978319e-06 1.29671246595664e-06 2.20441119212628e-05 0 3.24178116489159e-07 0 5.83520609680487e-06 0 0 9.72534349467478e-07 1.29671246595664e-06 1.29671246595664e-06 0 0 0 5.83520609680487e-06 3.24178116489159e-07 2.10715775717954e-05 6.48356232978319e-07 0 0 0 3.24178116489159e-07 0 9.72534349467478e-07 0 0 0 1.06978778441423e-05 8.7528091452073e-06 0 0 6.48356232978319e-07
0 1.77766771091371e-07 8.88833855456853e-07 0.00089487792567396 0 0 0 0 0 0 0 0 3.55533542182741e-07 0 0 0 0 0 0 0 4.44416927728427e-06 0 0 0 0 1.06660062654822e-06 0 0 0 0 2.31096802418782e-06 3.55533542182741e-07 1.42213416873096e-06 0 0 0 0 0 0 8.88833855456853e-07 0 0 0 0 0 0 0 0
0 1.54385880352155e-06 0 0 0.00175613938900577 0 0 0 9.26315282112933e-06 0.000104596433938585 1.27368351290528e-05 0 0 1.15789410264117e-06 0 0 0 0 2.35438467537037e-05 2.31578820528233e-06 0 0 0 7.71929401760777e-07 0 0 3.82105053871585e-05 0 0 0 3.4736823079235e-06 0 0 1.85263056422587e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 3.85964700880389e-07
8.65180376840395e-07 0 0 0 1.23597196691485e-07 0.00164495509076697 6.17985983457425e-07 0 2.10115234375524e-06 1.6067635569893e-06 2.4719439338297e-07 2.4719439338297e-07 0 1.35956916360633e-06 6.17985983457425e-07 0 0 0 8.65180376840395e-07 0 0 1.23597196691485e-07 3.70791590074455e-07 0 1.23597196691485e-07 0 0 7.4158318014891e-07 4.9438878676594e-07 1.35956916360633e-06 5.93266544119128e-06 1.23597196691485e-07 0 3.70791590074455e-07 3.70791590074455e-07 0 7.4158318014891e-07 0 0 0 0 1.23597196691485e-07 0 3.70791590074455e-07 4.9438878676594e-07 8.65180376840395e-07 0 2.4719439338297e-07
0 0 0 0 0 0 0.00316240367561203 0 8.02640526805084e-07 0 4.01320263402542e-06 7.22376474124575e-06 0 0 0 0 0 0 0 0 8.02640526805084e-07 0 0 0 0 0 0 1.60528105361017e-06 0 0 0.000223134066451813 8.02640526805084e-07 0 8.02640526805084e-07 0 4.01320263402542e-06 0 2.40792158041525e-05 5.61848368763558e-05 0 2.40792158041525e-06 0 0 2.40792158041525e-05 0 5.85927584567711e-05 3.21056210722033e-06 4.01320263402542e-06
0 0 7.5066398622323e-07 0 0 0 0 0.00150526895837413 9.38329982779038e-07 5.62997989667423e-07 1.87665996555808e-07 9.38329982779038e-06 1.87665996555808e-07 0 0 7.5066398622323e-07 1.12599597933485e-06 0 0 9.38329982779038e-07 0 0 9.38329982779038e-07 0 3.75331993111615e-07 0 0 0 0 0 8.44496984501134e-06 3.75331993111615e-07 7.5066398622323e-07 0 0 0 0 3.75331993111615e-07 0 2.4396579552255e-06 0 0 0 9.38329982779038e-07 5.62997989667423e-07 0 0 9.38329982779038e-07
0 0 0 2.26482714694036e-08 0 0 2.26482714694036e-08 0 0.000676911537677535 0 0 0 0 0 1.58537900285825e-07 0 0 0 0 1.99304788930752e-06 2.26482714694036e-08 0 0 6.79448144082108e-08 3.1707580057165e-07 0 4.52965429388072e-08 0 3.39724072041054e-07 0 2.94427529102247e-07 9.05930858776144e-08 0 0 0 0 0 0 0 0 0 7.24744687020915e-07 2.26482714694036e-08 0 1.81186171755229e-07 0 0 1.35889628816422e-07
1.10959181854101e-07 0 0 0 2.18589588252578e-05 0 0 0 2.44110200079022e-06 0.00109516712489997 6.65755091124604e-07 0 1.10959181854101e-07 2.44110200079022e-06 0 0 0 0 1.3204142640638e-05 0 0 1.10959181854101e-07 0 0 0 0 0 0 0 0 4.77124481972633e-06 3.32877545562302e-07 2.21918363708201e-07 3.32877545562302e-07 0 0 0 0 0 0 0 3.32877545562302e-07 0 0 0 0 0 0
