0 119132 ES 2020 0
1 118678 ES 2020 0
2 117905 ES 2020 0
3 116807 ES 2020 0
4 114916 ES 2020 0
5 113396 ES 2020 0
6 111406 ES 2020 0
7 110470 ES 2020 0
8 109469 ES 2020 0
9 108543 ES 2020 0
10 107814 ES 2020 0
11 107215 ES 2020 0
12 106576 ES 2020 0
13 106234 ES 2020 0
14 105778 ES 2020 0
15 107527 ES 2020 0
16 110620 ES 2020 0
17 115532 ES 2020 0
18 119959 ES 2020 0
19 123683 ES 2020 0
20 126060 ES 2020 0
21 126876 ES 2020 0
22 128909 ES 2020 0
23 130304 ES 2020 0
24 130399 ES 2020 0
25 128874 ES 2020 0
26 126145 ES 2020 0
27 122629 ES 2020 0
28 119347 ES 2020 0
29 115518 ES 2020 0
30 111763 ES 2020 0
31 108043 ES 2020 0
32 103102 ES 2020 0
33 98349 ES 2020 0
34 94507 ES 2020 0
35 92197 ES 2020 0
36 90682 ES 2020 0
37 88292 ES 2020 0
38 86441 ES 2020 0
39 85750 ES 2020 0
40 84639 ES 2020 0
41 83278 ES 2020 0
42 80159 ES 2020 0
43 77957 ES 2020 0
44 76998 ES 2020 0
45 75234 ES 2020 0
46 72841 ES 2020 0
47 69791 ES 2020 0
48 66970 ES 2020 0
49 64761 ES 2020 0
50 62380 ES 2020 0
51 61052 ES 2020 0
52 60412 ES 2020 0
53 59519 ES 2020 0
54 58078 ES 2020 0
55 56162 ES 2020 0
56 54026 ES 2020 0
57 51877 ES 2020 0
58 49560 ES 2020 0
59 47275 ES 2020 0
60 45048 ES 2020 0
61 43308 ES 2020 0
62 41931 ES 2020 0
63 40459 ES 2020 0
64 38844 ES 2020 0
65 37164 ES 2020 0
66 35509 ES 2020 0
67 33861 ES 2020 0
68 32237 ES 2020 0
69 30659 ES 2020 0
70 29075 ES 2020 0
71 27577 ES 2020 0
72 26146 ES 2020 0
73 24712 ES 2020 0
74 23284 ES 2020 0
75 21792 ES 2020 0
76 20301 ES 2020 0
77 18777 ES 2020 0
78 17272 ES 2020 0
79 15822 ES 2020 0
80 14360 ES 2020 0
81 12942 ES 2020 0
82 11579 ES 2020 0
83 10252 ES 2020 0
84 8984 ES 2020 0
85 7797 ES 2020 0
86 6704 ES 2020 0
87 5689 ES 2020 0
88 4756 ES 2020 0
89 3902 ES 2020 0
90 3119 ES 2020 0
91 2428 ES 2020 0
92 1823 ES 2020 0
93 1339 ES 2020 0
94 957 ES 2020 0
95 667 ES 2020 0
96 450 ES 2020 0
97 296 ES 2020 0
98 190 ES 2020 0
99 119 ES 2020 0
100 155 ES 2020 0
